pmid,model,comment,Q-1-b-3,Q-1-c-3,Q-2-b-3,Q-2-c-3,Q-3-b-3,Q-3-c-3,Q-4-b-3,Q-4-c-3,Q-5-b-3,Q-5-c-3
32714368,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
35011056,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing null and multivariant results
34023889,gpt-5-mini,,-,missing third bidirectional exposure,-,-,-,-,-,-,-,-
36936171,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
36738839,gpt-5-mini,,,,,,,,,,,
37822602,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing null result
32529581,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
36793015,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing main results
36909950,gpt-5-mini,,,,,,,,,,,
36514134,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing suggestive results
37829610,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38782862,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
35761866,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
37409643,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
32433745,gpt-5-mini,,-,-,-,-,-,-,-,-,-,only output listed results and not the 28 mentioned
33657885,gpt-5-mini,,,,,,,,,,,
38746746,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
36247759,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing null results
37422736,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
36924037,gpt-5-mini,,,,,,,,,,,
37916108,gpt-5-mini,,,,,,,,,,,
38716647,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
37565992,gpt-5-mini,,,,,,,,,,,
38263277,gpt-5-mini,,-,-,-,-,-,-,-,-,many results missing description,-
35615025,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38280379,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
23900446,gpt-5-mini,,,,,,,,,,,
38264282,gpt-5-mini,,,,,,,,,,,
37158995,gpt-5-mini,,,,,,,,,,,
37668928,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
21282362,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
32309857,gpt-5-mini,,,,,,,,,,,
32493397,gpt-5-mini,,,,,,,,,,,
31733098,gpt-5-mini,,,,,,,,,,,
37789337,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing results
37904919,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38725159,gpt-5-mini,,,,,,,,,,,
38053214,gpt-5-mini,,,,,,,,,,,
33125193,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38246357,gpt-5-mini,,-,-,-,-,-,-,-,-,-,missing null results and written out results
37787818,gpt-5-mini,,,,,,,,,,,
38765751,gpt-5-mini,,-,-,-,-,missing info on sensitivity,-,-,-,-,missing multivariate results
31908803,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
37638499,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38516009,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38576413,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
35575213,gpt-5-mini,,-,-,-,-,-,-,missing output,missing output,-,-
38646850,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38511766,gpt-5-mini,,,,,,,,,,,
37052410,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
29232439,gpt-5-mini,,,,,,,,,,,
34184784,gpt-5-mini,,,,,,,,,,,
38007229,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
38293563,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
34025845,gpt-5-mini,,-,-,-,-,-,-,-,-,-,-
30167974,llama3,incapable of interpriting does not to mean null effect,,,,,,,Did not report population,Did not report back population,direction of effect for one outcome is wrong,
30167974,llama3-2,incapable of interpriting does not to mean null effect,,,,,,,,,direction of effect for one outcome is wrong,
30167974,deepseek-r1,"outcome is systemic hence the category circulatory disease, separates two sample MR and IVW, MR Egger and weighted median",,,,,,,Returns not explicitly mentioned,,,
30167974,o4-mini,"separates two sample MR and IVW, MR Egger and weighted median, ",,,,,,,Returns empty dict because population is not explicitly mentioned,,direction of effect for one outcome is wrong,
30167974,gpt-4-1,"separates two sample MR and IVW, MR Egger and weighted median, duplicated one of the result",,,,,,,Returns empty dict because population is not explicitly mentioned,,duplicates one result and meddled direction of effect,
30167974,gpt-4o,,,,,,Broad method,,Returns empty dict because population is not explicitly mentioned,,,
30167974,gpt-5,,,,,,Broad method and sensitivity,,GWAS characteristics no ancestries,,direction of effect for one outcome is wrong,
30167974,gpt-5-mini,,,,,,Broad method and sensitivity,none,GWAS characteristics no ancestries,,Direction of effect is wrong for 3 results,
38179043,llama3,,,,Wrong disease category (digestive system),,,,,,,
38179043,llama3-2,,,,Wrong disease category(disease of nervous system),,,,,,,
38179043,deepseek-r1,"The thinking has information on methods but the output has no methods, thinking includes a bit of breakdown but the output has no population",Category of gut microbiome is not molecular,,Wrong disease category(disease of nervous system),,Methods are missing,,No population reported,,,
38179043,o4-mini,,Broke down the trait into specific subca,,Wrong disease outocme and categories,Did not report MG as outcome,Includes sensitivity analysis as a method,,,,,
38179043,gpt-4-1,,,,Wrong disease category (digestive system),,Includes sensitivity analysis as a method,,,,,
38179043,gpt-4o,,,,Wrong disease category (digestive system),,Includes sensitivity analysis as a method and other,,,,,
38179043,gpt-5,,Broke down the trait into specific subca,,Wrong disease outocme and categories,Did not report MG as outcome,Includes sensitivity analysis as a method,,,,,
38179043,gpt-5-mini,,Broke down the trait into specific subca,,Wrong disease outocme and categories,Did not report MG as outcome,Includes sensitivity analysis as a method,,,,,
36104772,llama3,,,,,,,,,,,Missing effect on fibrinogen
36104772,llama3-2,Includes more details of specific GPs,,,Broke inflammation to CRP and fibrinogen,,,,,,,
36104772,deepseek-r1,Includes more details of specific GPs,,,Broke inflammation to CRP and fibrinogen,,,,,,,
36104772,o4-mini,,Broke down the exposure to subcategories,,Broke inflammation to CRP and fibrinogen,,,,,,,Missing effect on CRP and Fibrinogen
36104772,gpt-4-1,Includes more details of specific GPs,,,Broke inflammation to CRP and fibrinogen,,,,,,,Missing effect on CRP and Fibrinogen
36104772,gpt-4o,,,,Broke inflammation to CRP and fibrinogen,,,,,,,Missing effect on CRP and Fibrinogen
36104772,gpt-5,,Includes exposure broad category,,Broke inflammation to CRP and fibrinogen,,Includes sensitivity analysis,,,,,
36104772,gpt-5-mini,,Includes exposure broad category,,Broke inflammation to CRP and fibrinogen,,Includes sensitivity analysis,,,,,
36305497,llama3,,,,,,,,,,,Missing effect of NAFLD on Hcy
36305497,llama3-2,,,,,,,,,,,Missing effect of NAFLD on Hcy
36305497,deepseek-r1,,,,,,,,,,,Missing effect of NAFLD on Hcy
36305497,o4-mini,Split the European ancestry per GWAS used,,,,,,,,,,
36305497,gpt-4-1,Bidirectional MR used exposure and outcome in both scenarios,,,,,,,,,,
36305497,gpt-4o,,,,,,Other,,,,,
36305497,gpt-5,Bidirectional MR used exposure and outcome in both scenarios,,,,,,,Detailed account fo each GWAS,,,
36305497,gpt-5-mini,Bidirectional MR used exposure and outcome in both scenarios,,,,,,,Detailed account fo each GWAS,,,
38365715,llama3,Duplicated one result,,,,,,,No specific ancestry was mentioned,,,
38365715,llama3-2,sample characteristics instead is provided individuals with endometriosis,,,,,,,No specific ancestry was mentioned,,,
38365715,deepseek-r1,"the category of exposure and outcome is wrong, empty population dictionary",,,category of exposure and outcome is wrong,,,Missing IVW and leave one out,No specific ancestry was mentioned,,,
38365715,o4-mini,"Split the exposure into individual reported taxas, empty population dictionary",,,,,,,No specific ancestry was mentioned,,,
38365715,gpt-4-1,Empty population dictionary,,,,,,,No specific ancestry was mentioned,,,
38365715,gpt-4o,,,,,,Includes other category,,No specific ancestry was mentioned,,,
38365715,gpt-5,,,,,,Includes LOO sensitivity analysis,,No specific ancestry was mentioned,,,
38365715,gpt-5-mini,,Includes exposure broad category,,,,Includes broad categories,,No specific ancestry was mentioned,,,
34088753,llama3,,,,,,,,,,,
34088753,llama3-2,"details on PUFAS and PUFA, includes keratinocyte as an outcome",,,,,,,,,,
34088753,deepseek-r1,,,,,,,,,,,
34088753,o4-mini,details on PUFAs,,,,,,,,,,
34088753,gpt-4-1,"details on PUFAs, includes keratinocyte as an outcome",Includes exposure broad category,,includes outcome broad  category,,,,,,,
34088753,gpt-4o,,Provides broad exposure category only,,,,,,,,,
34088753,gpt-5,,Includes exposure broad category,,,,,,More details on GWAs,,,
34088753,gpt-5-mini,,Includes exposure broad category,,includes outcome broad  category,,,,More details on GWAS,,,
36773317,llama3,European ancestry from Exposure GWAS,,,,,,,,,,Did not report the CI range and missing other outcomes
36773317,llama3-2,"European ancestry from Exposure GWAS, replicated Covid19",,,,,,,,,,
36773317,deepseek-r1,European ancestry from Exposure GWAS,,,,,,,,,,
36773317,o4-mini,European ancestry from Exposure GWAS,,,,,,,,,,Did not report any results other than an empty dictionary
36773317,gpt-4-1,European ancestry from Exposure GWAS,,,,,,,,,,
36773317,gpt-4o,,,,,,,,,,,Did not report the CI range and missing other outcomes
36773317,gpt-5,,,,,,,,More details on GWAs,,,
36773317,gpt-5-mini,,Mentions iron supplements as a proxy for exposure,,,,,,More details on GWAs,,,
33408737,llama3,,,,,,,,,,,Missing result of MR-egger
33408737,llama3-2,report vascular as outcome,,,,,,,,,,
33408737,deepseek-r1,Includes 2SMR,,,,Missing cancer outcome,,,,,,
33408737,o4-mini,category of exposure is molecular and not metabolic,,,,Missing cancer outcome,,,,,,Missing significant results
33408737,gpt-4-1,"reports vascular as outcome, includes sensitivity analysis",,,,,,,,,,
33408737,gpt-4o,,,,,,,,,,,
33408737,gpt-5,,,,,,,,,,,
33408737,gpt-5-mini,,,,,,,,,,,
36980988,llama3,,,,,,,,,,,Missing non-main analysis
36980988,llama3-2,,,,,,,,,,,
36980988,deepseek-r1,,,,,,,,,,,
36980988,o4-mini,Provides more details on ancestry GWAS,,,,,,,,,,
36980988,gpt-4-1,Provides more details on ancestry GWAS,,,,,,,,,,
36980988,gpt-4o,,,,,,,,,,,
36980988,gpt-5,,,,,,,,,,,
36980988,gpt-5-mini,,,,,,,,,,,
36895273,llama3,,,,,,,,,,,
36895273,llama3-2,Includes the no-causal with no stats,,,,,,,,,,
36895273,deepseek-r1,,,,,,,,,No population reported and datafield missing,,
36895273,o4-mini,,,,,,,,,,,
36895273,gpt-4-1,,,,,,,,,,,
36895273,gpt-4o,,,,,,,,,,,
36895273,gpt-5,Robust at extracting  evidence from text,,,,,,,More details on GWAs,,,
36895273,gpt-5-mini,Robust at extracting  evidence from text,,,,,,,More details on GWAs,,,
38298515,llama3,"Disease category is wrong (metabolic instead of digestive system), excludes IVW",,,,,,,,,,
38298515,llama3-2,"Disease category is wrong (metabolic instead of digestive system), excludes IVW",,,,,,,,,,
38298515,deepseek-r1,"Excludes mentioning IVW, detailed breakdown of the results to tell apart the negative statements",,,,,,,,,,
38298515,o4-mini,"Includes CRP a positive control outcome,excludes IVW, more detailed population description, struggling with negative sentences for result reporting",,,,,,,,,,
38298515,gpt-4-1,Robust in handpicking netaive sentences for result reporting,,,,,,,,,,
38298515,gpt-4o,,,,,reports only broad outcome categories,,,,,,
38298515,gpt-5,Robust in handpicking netaive sentences for result reporting,,,includes CRP a positive control outcome,,Reports positive control outcome as a method,,More details on GWAs,,,
38298515,gpt-5-mini,Robust in handpicking netaive sentences for result reporting,,,includes CRP positive control outcome,,,,More details on GWAs,,,
37933065,llama3,Population not provided,,,,,,,,,,Missing ORs for two methods
37933065,llama3-2,Population not provided,,,,,,,,,,
37933065,deepseek-r1,"Population not provided, struggled with MR EGGER intercept reporting",,,,,,,,,Egger regression intercept defined as a beta value reported in every result,
37933065,o4-mini,Returns an empty dictionary because population is not metioned,,,,,,,,,,
37933065,gpt-4-1,Returns an empty dictionary because population is not metioned,,,,,,,,,,
37933065,gpt-4o,,,,,,Reports broad categories only,,,,,
37933065,gpt-5,,,,,,,,,,,
37933065,gpt-5-mini,,,,,,Provides details on subcategories,,,,,
36333784,llama3,Extracts GWAS characteristics,,,Includes the broad outcome category,,,missing Supplementary methods,,,,
36333784,llama3-2,Extracts GWAS characteristics,,,,,,,,,,
36333784,deepseek-r1,Population not provided,Duplication of the same exposure using a different prefix,,,,,missing Supplementary methods,,,,
36333784,o4-mini,Empty list for population,,,,,,,,,,
36333784,gpt-4-1,Empty list for population,,,,,MR mentioned,missing Sensitivity analysis methods,,,,
36333784,gpt-4o,,,,,,,,,,,
36333784,gpt-5,,,,,,MR mentioned,missing Sensitivity analysis methods,More details on GWAs,,,
36333784,gpt-5-mini,,,,,,,,More details on GWAS,,,
38378549,llama3,,,,,,,,,,,
38378549,llama3-2,,,,,,,,,,,
38378549,deepseek-r1,,,,Includes the broad outcome category,,,,,,,
38378549,o4-mini,,,,,,,,,,,
38378549,gpt-4-1,,includes exposure subcategories,,includes broad outcome category,,,,,,,
38378549,gpt-4o,,,,,,,,,,,
38378549,gpt-5,,includes exposure subcategories ,,,,,,More detailed on GWAS,,,
38378549,gpt-5-mini,,includes exposure subcategories,,,,,,More detailed on GWAS,,,
38179450,llama3,,,,,,,Missing two methods (metaanalysis and LOO),Dataset characteristics,,,
38179450,llama3-2,,,,,,,Missing two methods (metaanalysis and LOO),Dataset characteristics,,,
38179450,deepseek-r1,,,,,,Added external validation dataset as a method,Missing LOO,Not provided population in abstract,,,
38179450,o4-mini,,Breaks down the trait to specific microbiome,,,,,Missing LOO,Empty list for population because its absent,,,
38179450,gpt-4-1,,,,,,,Missing LOO,Empty list for population because its absent,,,
38179450,gpt-4o,,,,,,,Missing details on methodssubcategories ,Patient description,,,
38179450,gpt-5,,Breaks down the trait to specific microbiome and broad category,,,,A validation dataset,,More details on GWAs,,,
38179450,gpt-5-mini,,Breaks down the trait to specific microbiome and broad category,,,,A validation dataset,,More details on GWAS,,,
30707692,llama3,,,,,Missing one trivial trait,,,,,,
30707692,llama3-2,,,,,Missing one trivial trait,,,,,,
30707692,deepseek-r1,,,,,,,,,,,
30707692,o4-mini,,,,,,,,,,,
30707692,gpt-4-1,,,,,,,,,,,
30707692,gpt-4o,,,,,Missing one trivial trait,,,,,,
30707692,gpt-5,,,,,,,,,,,
30707692,gpt-5-mini,,,,,,,,,,,
35992145,llama3,Bidirectional MR considered the outcome as an exposure,,,,,,,,,,Missing null results
35992145,llama3-2,Bidirectional MR considered the outcome as an exposure,,,,,,,,,,
35992145,deepseek-r1,Did not consider outcome as exposure despite the use of Bidirectional MR,,,,,,,,,,Missing null results
35992145,o4-mini,Bidirectional MR well handled,,,,,,,,,,Missing null results
35992145,gpt-4-1,Bidirectional MR well handled,,,,,,,,,,reports one blacket null result
35992145,gpt-4o,"Collapsed exposures and outcomes into broad categories, retructing to just title onle",,Collapsed the exposures to broad categories,,Collapsed into broad categories,,,,,,Missing null results
35992145,gpt-5,Bidirectional MR well handled,,,,,,,,,,
35992145,gpt-5-mini,Bidirectional MR well handled,,,,,,,More details on GWAS,,,
38622701,llama3,Extracted only three specific exposures,,,,,,missing sensitivity analyses methods,No ancestry mentioned but dataset characteristics,,,
38622701,llama3-2,Extracted only three specific exposures,,,,,,missing sensitivity analyses methods,No ancestry mentioned but dataset characteristics,,,
38622701,deepseek-r1,Extracted the general exposure of lipidomes,,,,,,missing sensitivity analyses methods,No population mentioned,,,
38622701,o4-mini,,Includes subcategories,,Includes subcategories ER+ and ER-,,,,No population mentioned,,,
38622701,gpt-4-1,,,,Includes subcategories ER+ and ER-,,,,No ancestry mentioned but dataset characteristics,,,
38622701,gpt-4o,,,,,,,Missing specific sensitivity and Bayesian method,Did not extract,Missing to report population as an output,,
38622701,gpt-5,,Includes subcategories,,Includes subcategories ER+ and ER-,,,,No ancestry mentioned but dataset characteristics,,,
38622701,gpt-5-mini,,Includes subcategories,,Includes subcategories ER+ and ER-,,,,No ancestry mentioned but dataset characteristics,,,
31661179,llama3,,,,,,,,No ancestry mentioned but dataset characteristics,,,
31661179,llama3-2,,,,,,,,More details on GWAS,,,
31661179,deepseek-r1,,,,,,,,No population mentioned,,,
31661179,o4-mini,,includes subcategories of migraine,,,,,,More details on GWAS,,,
31661179,gpt-4-1,,includes subcategories of migraine,,,,,,More details on GWAS,,,
31661179,gpt-4o,,,,,,,,GWAS datasets,,,
31661179,gpt-5,,includes subcategories of migraine,,,,,,More details on GWAS,,,
31661179,gpt-5-mini,,includes subcategories of migraine,,,,,,More details on GWAS,,,
36789917,llama3,,,,,,,,GWAS datasets,,,
36789917,llama3-2,Outcome from post hoc analysis is included,,,,,,,GWAS datasets,,,
36789917,deepseek-r1,Missed out on reporting one exposure,,,,,,,No information on population,,,
36789917,o4-mini,,,,,,,,Empty list,,,
36789917,gpt-4-1,,,,,,,,No information on population,,,
36789917,gpt-4o,,,,,,,,Empty list,,,
36789917,gpt-5,,,,includes CAD part of post hoc analysis,,,,More details on GWAS,,,
36789917,gpt-5-mini,,,,,,,,More details on GWAS,,,
38672162,llama3,,,,,,,,UKB and Biobank Japan,,,
38672162,llama3-2,,,,,,,,UKB and Biobank Japan,,,
38672162,deepseek-r1,,,,,,,missing sensitivity analyses methods,No population was extracted,Missing to extract two ancestries,,
38672162,o4-mini,,,,,,,,UKB and Biobank Japan,,,
38672162,gpt-4-1,,,,,,,,UKB and Biobank Japan,,,
38672162,gpt-4o,,,,,,,Missing sensitivity methods,UKB and Biobank Japan,,,
38672162,gpt-5,,,,,,,,UKB and Biobank Japan and more details,,,
38672162,gpt-5-mini,,,,,,,,UKB and Biobank Japan and more details,,,
35957835,llama3,,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
35957835,llama3-2,,,,,,,,More details on GWAS,,,
35957835,deepseek-r1,this model is struggling with categories of exposure and outcome,,,,,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,,
35957835,o4-mini,,,,,,,,More details on GWAS,,,
35957835,gpt-4-1,,,,,,,,More details on GWAS,,,
35957835,gpt-4o,,,,,,,,More details on GWAS,,,
35957835,gpt-5,Extracted glucose traitsalthough not really outcomes but mentioned as being associated ,,,,,,,More details on GWAS,,,
35957835,gpt-5-mini,Extracted glucose traitsalthough not really outcomes but mentioned as being associated ,,,,,,,More details on GWAS,,,
37495778,llama3,,,,,,,,More details on GWAS,,,
37495778,llama3-2,,,,,,,,More details on GWAS,,,
37495778,deepseek-r1,Does not extract specific exposures besides the blacket term,,Missing the subtypes of exposure,,,,Missing methods,DId not extract the population,Missing European descent,,
37495778,o4-mini,,,,,,,,More details on GWAS,,,
37495778,gpt-4-1,,,,,,,,,,,
37495778,gpt-4o,,,,,,,,More details on GWAS,,,
37495778,gpt-5,,,,,,,,More details on GWAS,,,
37495778,gpt-5-mini,,,,,,,,More details on GWAS,,,
32062614,llama3,,,Missing subtypes of exposure,,,,,,,,
32062614,llama3-2,,,Missing subtypes of exposure,,,,,,,,
32062614,deepseek-r1,,,,,,,,,,,
32062614,o4-mini,,,missing subcategories,,,,,,,,
32062614,gpt-4-1,,,missing subcategories,,,,,,,,
32062614,gpt-4o,,,missing subcategories,,,,,,,,
32062614,gpt-5,,,,,,,,,,,
32062614,gpt-5-mini,,,,,,,,,,,
34227468,llama3,,,Did not break down smoking to two subcategories,,,,,No mention of population,,,
34227468,llama3-2,Includes the broad exposure category,,,,,,,No mention of population,,,
34227468,deepseek-r1,,,Did not break down smoking to two subcategories,,Missing out ACE and covid19 subcategories,Includes Other category,,No mention of population,,,
34227468,o4-mini,,,,,,,,No mention of population,,,
34227468,gpt-4-1,,,Did not break down smoking to two subcategories,,"broad categories are reported, missing COVID severity",,,No mention of population,,,
34227468,gpt-4o,,,Did not break down smoking to two subcategories,,,,,No mention of population,,,
34227468,gpt-5,,,,,,,,More details on dataset,,,
34227468,gpt-5-mini,,,,,,,,More details on dataset,,,
37271768,llama3,,,,,,,,,,,
37271768,llama3-2,,,,,,,,,,,
37271768,deepseek-r1,,,,,Missing the no causal outcomes,,,,,,
37271768,o4-mini,,,,,,,,More details about the dataset,,,
37271768,gpt-4-1,,,,,,,,,,,
37271768,gpt-4o,,,,,,Presents the broad categories only,,,,,
37271768,gpt-5,,,,,,,,More details about the dataset,,,
37271768,gpt-5-mini,,,,,,,,More details about the dataset,,,
38643889,llama3,,,,,,,,No data on population,,,
38643889,llama3-2,,,,,,,,No data on population,,,
38643889,deepseek-r1,,,,,,,,No data on population,,,
38643889,o4-mini,,,,,,,,No data on population,,,
38643889,gpt-4-1,Efficient with Bidirectional MR,,,,,,,No data on population,,,
38643889,gpt-4o,,,,,,,Missing subcategories,No data on population,,,
38643889,gpt-5,Efficient with Bidirectional MR,,,,,,,No data on population,,,
38643889,gpt-5-mini,Efficient with Bidirectional MR,,,,,,,No data on population,,,
38625888,llama3,Challenging to know exposure and outcomes,,,,,,,More details about the dataset,,,
38625888,llama3-2,Challenging to know exposure and outcomes,,,,,,,More details about the dataset,,,
38625888,deepseek-r1,Challenging to know exposure and outcomes,,Extracted SNPs in general and does not include the variables,,,,,More details about the dataset,,,
38625888,o4-mini,,,,,,,,,,,
38625888,gpt-4-1,,,,,,,,,,,
38625888,gpt-4o,,,,,,,,,,,
38625888,gpt-5,,,,,,,,,,,
38625888,gpt-5-mini,,,,,,,,,,,
38156559,llama3,,,,,,,,,,,
38156559,llama3-2,,,,,,,,,,,
38156559,deepseek-r1,,,,,Missing two of the 5 outcomes,,,,,,
38156559,o4-mini,,,,,,,,,,,
38156559,gpt-4-1,,Captures broad categories,,Bidirectional MR,,,,,,,
38156559,gpt-4o,,Captures all outcomes bidirectional MR,,,,,,,,,
38156559,gpt-5,,Captures all outcomes bidirectional MR,,Bidirectional MR,,,,,,,
38156559,gpt-5-mini,,,,,,,,,,,
37675772,llama3,,,,,,,,Did not extract population,missing the population data,,
37675772,llama3-2,,,,,,,,,,,
37675772,deepseek-r1,,,,,Missing 5 outcomes,,,,,,
37675772,o4-mini,,,,,,,,More details about the dataset,,,
37675772,gpt-4-1,,,,,,,,More details about the dataset,,,
37675772,gpt-4o,,,,,,,,More details about the dataset,,,
37675772,gpt-5,,,,,,,,More details about the dataset,,,
37675772,gpt-5-mini,,,,,,,,More details about the dataset,,,
34727949,llama3,,,Did not break down th exposure into constituents,,,,,More details about the dataset,,,
34727949,llama3-2,,,Reports both overall and subcategories of exposure,,,,,More details about the dataset,,,
34727949,deepseek-r1,,,,,,Includes metabolic profiling,,more details about the dataset,,,
34727949,o4-mini,,,,,,,,more details about the dataset,,,
34727949,gpt-4-1,,,,,,,,more details about the dataset,,,
34727949,gpt-4o,,,,,,,"Includes other category, missing MVR",more details about the dataset,,,
34727949,gpt-5,,,,includes subcategories,,,,more details about the dataset,,,
34727949,gpt-5-mini,,,,includes subcategories,,,,more details about the dataset,,,
38242214,llama3,,,,,,,,more details about the dataset,,,
38242214,llama3-2,,,,,,,,more details about the dataset,,,
38242214,deepseek-r1,,,,,,,,more details about the dataset,,,
38242214,o4-mini,,,,,,,,more details about the dataset,,,
38242214,gpt-4-1,,bidirectional MR,,bidirectional MR,,,,more details about the dataset,,,
38242214,gpt-4o,,,,,,,,more details about the dataset,,,
38242214,gpt-5,,bidirectional MR,,bidirectional MR,,,,more details about the dataset,,,
38242214,gpt-5-mini,,,,,,,,more details about the dataset,,,
38699385,llama3,,,,,,,,more details about the dataset,,,
38699385,llama3-2,,,,,,,,more details about the dataset,,,
38699385,deepseek-r1,,Extracted SNPs and not exposure,,,,,,more details about the dataset,,,
38699385,o4-mini,,,,,,,,more details about the dataset,,,
38699385,gpt-4-1,,,,,,,,more details about the dataset,,,
38699385,gpt-4o,,,,,,,,more details about the dataset,,,
38699385,gpt-5,,,,,,,,more details about the dataset,,,
38699385,gpt-5-mini,,,none,,,,,more details about the dataset,,,
37693321,llama3,includes exposure super category,,,,,,,No specific ancestry,,,
37693321,llama3-2,includes exposure super category,,,,,,,No specific ancestry,,,
37693321,deepseek-r1,,,,,,,,No specific ancestry,,,
37693321,o4-mini,,,,,,,,No specific ancestry,,,
37693321,gpt-4-1,,bidirectional,,bidirectional,,,,No specific ancestry,,,
37693321,gpt-4o,,,,,,,Missing subcategories,No specific ancestry,,,
37693321,gpt-5,,bidirectional,,bidirectional,,,,No specific ancestry,,,
37693321,gpt-5-mini,,bidirectional,,,,,,No specific ancestry,,,
35656325,llama3,,,,,,,,UKB,,,
35656325,llama3-2,,,,,,,,UKB,,,
35656325,deepseek-r1,,,,,,,,UKB,,,
35656325,o4-mini,,bidirectional,,bidirectional,,,,UKB and more details,,,
35656325,gpt-4-1,,bidirectional,,bidirectional,,,,UKB and more details,,,
35656325,gpt-4o,,,,,,Missing details for sensitivity analysis,,UKB,,,
35656325,gpt-5,,bidirectional,,bidirectional,,,,UKB and more details,,,
35656325,gpt-5-mini,,bidirectional,,bidirectional,,,,UKB and more details,,,
37432894,llama3,,,,,,,,Finngen cohort,,,
37432894,llama3-2,,,,,,,,Finngen cohort,,,
37432894,deepseek-r1,,,,,,,,Finngen cohort,,,
37432894,o4-mini,,,,,,,,Finngen cohort,,,
37432894,gpt-4-1,,,,,,,,Finngen cohort,,,
37432894,gpt-4o,,,,,,,,Finngen cohort,,,
37432894,gpt-5,,,,,,,,Finngen cohort and more details,,,
37432894,gpt-5-mini,,,,,,,,Finngen cohort and more details,,,
38409624,llama3,,,,,,,,No specific ancestry,,,
38409624,llama3-2,,,,,,,,No specific ancestry,,,
38409624,deepseek-r1,,,missing exposure subcategories ,,,,,No specific ancestry,,,
38409624,o4-mini,,,,,,,,No specific ancestry,,,
38409624,gpt-4-1,,,,,,,,No specific ancestry,,,
38409624,gpt-4o,,,,,,,,No specific ancestry,,,
38409624,gpt-5,,,,,,,,Details on dataset,,,
38409624,gpt-5-mini,,,,,,,,Details on dataset,,,
38504987,llama3,,,,,Missing one outcome,,,Details on dataset,,,
38504987,llama3-2,,,,,,,,Details on dataset,,,
38504987,deepseek-r1,,,,,,,,Details on dataset,,,
38504987,o4-mini,,,,,,,,Details on dataset,,,
38504987,gpt-4-1,,,,,,,,Details on dataset,,,
38504987,gpt-4o,,,,broad categories of mortality,,,,Details on dataset,,,
38504987,gpt-5,,,,sub categories of mortality,,,,Details on dataset,,,
38504987,gpt-5-mini,,,,sub categories of mortality,,,,Details on dataset,,,
35703944,llama3,,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data,Did not extract at all,Did not extract any data
35703944,llama3-2,,,,,,,Missing sensitivity analysis methods,Details on dataset,,,
35703944,deepseek-r1,,,,,,,Missing sensitivity methods,Details on dataset,,,
35703944,o4-mini,,,,,,,,More details on dataset,,,
35703944,gpt-4-1,,,,,,,,More details on dataset,,,
35703944,gpt-4o,,,,,,,,Details on dataset,,,
35703944,gpt-5,,,,,,,,More details on dataset,,,
35703944,gpt-5-mini,,,,,,,,More details on dataset,,,
38584824,llama3,,,,,,,,Details on dataset,,,
38584824,llama3-2,,,,,,,,Details on dataset,,,
38584824,deepseek-r1,,,,,,,,Details on dataset,,,
38584824,o4-mini,,,,,,,,Details on dataset,,,
38584824,gpt-4-1,,,,,,,,Details on dataset,,,
38584824,gpt-4o,,,,,,,,Details on dataset,,,
38584824,gpt-5,,,,,,,,Details on dataset,,,
38584824,gpt-5-mini,,,,,,provides more details on methods,,Details on dataset,,,
37925898,llama3,,,,,,,,Details on dataset,,,
37925898,llama3-2,,,,provides subcategories of main outcome,,,,Details on dataset,,,
37925898,deepseek-r1,,,,,,,,Details on dataset,,,
37925898,o4-mini,,,,,,,,More details on dataset,,,
